股票代码,买入日期,买入价格,买入数量,卖出日期,卖出价格,卖出数量,净利润
000920,20190304,6.65,8000,20190305,6.63,8000,-225.78
000732,20190305,16.07,3000,20190306,16.17,3000,239.88
600207,20190305,5.41,9000,20190306,5.47,9000,478.82
002270,20190305,5.37,9000,20190306,5.59,9000,1917.85
000732,20190306,15.97,3000,20190307,16.17,3000,539.91
002073,20190307,6.33,8000,20190308,6.59,16000,4189.77
002073,20190307,6.31,8000,20190308,0,0,0
000732,20190307,15.97,3000,20190312,15.53,3000,
300259,20190307,3.79,13000,20190308,3.85,13000,718.03
000732,20190308,15.77,3000,20190308,15.87,3000,241
600207,20190308,5.27,9000,20190312,5.31,9000,
000732,20190308,15.37,3000,20190312,15.47,3000,
603676,20190308,12.55,4900,20190311,12.50,4900,
600207,20190311,5.12,9000,20190311,5.17,9000,
000732,20190311,14.87,6000,20190311,15.07,6000,
300666,20190311,47.66,1000,20190312,48.66,1000,
000732,20190312,15.41,3000,20190313,15.56,3000,
300106,20190312,7.09,6000,20190313,7.17,6000,
300106,20190313,7.01,6000,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
